Iterations;Entropy;GEL;GLL;M-SVM Weston;M-SVM Lee;Surrogate Hinge;Surrogate Hinge Squares;Surrogate Squares
154500;0,878597863;0,833778784;0,87777549;0,878495067;0,874897197;0,864925981;0,862561673;0,863075659
155000;0,872635692;0,84488076;0,872738481;0,869140625;0,864309207;0,869140625;0,862972856;0,862767264
155500;0,873972043;0,838404611;0,876027964;0,874280423;0,869346216;0,869140625;0,862972856;0,861122534
156000;0,859786183;0,844777957;0,873560861;0,870682567;0,871607736;0,864617601;0,863898024;0,86328125
156500;0,862047702;0,846628293;0,873149678;0,873046875;0,874383226;0,866365135;0,865953952;0,864617601
157000;0,869243428;0,846833885;0,862356082;0,88003701;0,863075659;0,86441201;0,865439966;0,861842111
157500;0,853001639;0,845703125;0,855571553;0,876644738;0,866262332;0,867290303;0,864925981;0,858552635
158000;0,859991774;0,851151317;0,854543582;0,873046875;0,860402957;0,869449019;0,861533716;0,861842111
158500;0,852076486;0,850123361;0,861533716;0,87386924;0,868523851;0,868935034;0,861225322;0,861636519
159000;0,849917769;0,84488076;0,861944899;0,873149678;0,862664476;0,86605674;0,858347043;0,864514798
159500;0,852282077;0,849917769;0,855777144;0,875616774;0,865748361;0,870168582;0,860916942;0,860916942
160000;0,849198192;0,85043174;0,859888986;0,875;0,859580591;0,868112668;0,862047702;0,863178447
160500;0,835526317;0,845291942;0,850328952;0,870579764;0,86996299;0,866776317;0,862767264;0,861842111
161000;0,825452298;0,84765625;0,845394731;0,874794409;0,863075659;0,866981909;0,860608548;0,863384053
161500;0,842208058;0,851356909;0,852076486;0,876336351;0,862253293;0,869654611;0,865234375;0,863384053
162000;0,83706826;0,850637332;0,837890625;0,875308387;0,859786183;0,867495894;0,859888986;0,863178447
162500;0,828844577;0,842722043;0,847347856;0,869449019;0,857010692;0,867907077;0,859477803;0,863384053
163000;0,833573192;0,850945726;0,843338817;0,874177635;0,858141452;0,869449019;0,858655423;0,861430928
163500;0,837787822;0,842208058;0,858449832;0,875308387;0,866981909;0,867701486;0,861122534;0,86441201
164000;0,822368428;0,841899678;0,865131572;0,876747534;0,864925981;0,867290303;0,860197365;0,861842111
164500;0,825863481;0,846217111;0,85269326;0,870476976;0,856702298;0,866673514;0,860300168;0,860608548
165000;0,818462178;0,849506572;0,848478615;0,870374173;0,868009865;0,866467923;0,862253293;0,861636519
165500;0,81136924;0,850123361;0,856393918;0,865542769;0,862870067;0,864103615;0,861533716;0,860300168
166000;0,824732736;0,850020558;0,850637332;0,873972043;0,869449019;0,863486841;0,861739308;0,860916942
166500;0,834498361;0,849095389;0,851254106;0,871402144;0,861430928;0,866879106;0,860197365;0,859683394
167000;0,845189139;0,851870894;0,846731082;0,866159543;0,863589644;0,867495894;0,863589644;0,86328125
167500;0,845600322;0,847347856;0,850020558;0,864823192;0,865131572;0,865748361;0,863486841;0,862972856
168000;0,855674341;0,849506572;0,852179274;0,863898024;0,86050576;0,864000827;0,86328125;0,861739308
168500;0,841180101;0,851665303;0,858449832;0,870065793;0,868215457;0,865439966;0,864206418;0,863178447
169000;0,83871299;0,849712178;0,854954764;0,862767264;0,86996299;0,866159543;0,861739308;0,86441201
169500;0,848170236;0,849917769;0,857421875;0,864206418;0,870065793;0,866262332;0,86050576;0,86328125
170000;0,846114308;0,852179274;0,850534543;0,864514798;0,866981909;0,866365135;0,860711351;0,859375
170500;0,86328125;0,848992601;0,856393918;0,862356082;0,865439966;0,866570726;0,861430928;0,861430928
171000;0,855057567;0,84878701;0,859786183;0,868421048;0,871299341;0,867084697;0,860711351;0,863384053
171500;0,864309207;0,853412822;0,855777144;0,865851149;0,866879106;0,863692433;0,860608548;0,860197365
172000;0,859786183;0,852487668;0,865439966;0,865748361;0,86215049;0,866365135;0,859888986;0,861019731
172500;0,86441201;0,853207231;0,862767264;0,860402957;0,862561673;0,869757399;0,862870067;0,859786183
173000;0,859169409;0,852898851;0,871402144;0,858038649;0,867393091;0,866467923;0,86215049;0,860197365
173500;0,856496707;0,852590457;0,858758226;0,862972856;0,869140625;0,865028784;0,85824424;0,859477803
174000;0,858038649;0,854440793;0,843030423;0,870476976;0,867701486;0,866262332;0,857627466;0,860197365
174500;0,861636519;0,848684207;0,866776317;0,86605674;0,8671875;0,863486841;0,855571553;0,858141452
175000;0,86441201;0,854235202;0,852487668;0,865131572;0,866467923;0,864617601;0,858758226;0,859066606
175500;0,870168582;0,868592382;0,867290303;0,870168582;0,86831826;0,866776317;0,859991774;0,858758226
176000;0,873560861;0,87297834;0,874897197;0,873458058;0,870579764;0,866262332;0,860916942;0,859066606
176500;0,876541942;0,874965732;0,878083885;0,874691606;0,872121707;0,866879106;0,860402957;0,859375
177000;0,880345397;0,87616502;0,879111841;0,877261512;0,872121707;0,868112668;0,86215049;0,860402957
177500;0,87962582;0,878426534;0,880756579;0,88003701;0,874486014;0,867701486;0,860711351;0,860402957
178000;0,881990135;0,880105535;0,88353207;0,881270558;0,875513978;0,867701486;0,862253293;0,861842111
178500;0,881784536;0,879317435;0,882915296;0,880448192;0,874588817;0,867290303;0,860402957;0,859991774
179000;0,882195726;0,879762883;0,88558799;0,879728615;0,873972043;0,867084697;0,861636519;0,860608548
179500;0,882298522;0,880174066;0,884457238;0,881167762;0,874897197;0,868626639;0,861533716;0,861430928
180000;0,883326478;0,879248902;0,883840464;0,879831411;0,874074832;0,86831826;0,861430928;0,859786183
180500;0,882915296;0,88051672;0,887335524;0,880756579;0,873458058;0,868421048;0,861225322;0,859888986
181000;0,883120887;0,88051672;0,886101976;0,881373353;0,874074832;0,868523851;0,862047702;0,860300168
181500;0,883634865;0,880345394;0,887027137;0,880962171;0,873046875;0,868009865;0,86215049;0,86050576
182000;0,884560034;0,880311132;0,884765625;0,882606909;0,873560861;0,867701486;0,861328125;0,860608548
182500;0,883223683;0,879762883;0,88394326;0,880859375;0,874486014;0,867495894;0,859786183;0,859477803
183000;0,88353207;0,880208331;0,886307567;0,879831411;0,874486014;0,869346216;0,86050576;0,859580591
183500;0,885279603;0,880413927;0,886924341;0,880345397;0,873972043;0,868935034;0,861122534;0,860711351
184000;0,884148851;0,87928317;0,885485195;0,880139805;0,87222451;0,867495894;0,859786183;0,859066606
184500;0,88558799;0,879077576;0,884251647;0,879523024;0,873458058;0,866365135;0,859888986;0,859272197
185000;0,882298522;0,881236292;0,88671875;0,88168174;0,875308387;0,868215457;0,859888986;0,859683394
185500;0,88558799;0,881304823;0,885074012;0,883429274;0,875411183;0,869037822;0,861225322;0,858655423
186000;0,887746714;0,880550986;0,884560034;0,881784536;0,875308387;0,869037822;0,861533716;0,859683394
186500;0,887129933;0,881167762;0,886307567;0,883326478;0,87386924;0,868523851;0,861739308;0,861019731
187000;0,884868421;0,879899944;0,884148851;0,881270558;0,874280423;0,867495894;0,860197365;0,857113481
187500;0,884046055;0,880790847;0,88599918;0,881990135;0,874383226;0,869243428;0,859683394;0,859683394
188000;0,885382399;0,881133497;0,885176808;0,883018091;0,875205591;0,867084697;0,859786183;0,859991774
188500;0,883840464;0,880893638;0,885382399;0,881578945;0,87571957;0,867804274;0,860916942;0,861019731
189000;0,885074012;0,880413925;0,885896385;0,880859375;0,874486014;0,866981909;0,859888986;0,86050576
189500;0,88353207;0,879454499;0,88394326;0,880242601;0,874177635;0,866776317;0,860814139;0,859683394
190000;0,885176808;0,879488761;0,882915296;0,880756579;0,874794409;0,86831826;0,859991774;0,860711351
190500;0,886204772;0,879660085;0,885690786;0,879009046;0,874280423;0,867701486;0,859991774;0,862253293
191000;0,885382399;0,881064966;0,886513159;0,881373353;0,875308387;0,867701486;0,860711351;0,861122534
191500;0,885690786;0,880037005;0,883223683;0,881990135;0,874897197;0,866776317;0,858449832;0,861944899
192000;0,886821546;0,880756579;0,884251647;0,8828125;0,875205591;0,867804274;0,860300168;0,862458885
