Iterations;Entropy;GEL;GLL;M-SVM Weston;M-SVM Lee;Surrogate Hinge;Surrogate Hinge Squares;Surrogate Squares;Surrogate Saturated Hinge;Surrogate Exponential;Surrogate Sigmoid;M-SVM Crammer
66500;0,791015625;0,607473269;0,748149671;0,583393296;0,743960727;0,805338542;0,818599234;0,814932843;0,09991774;0,348324418;0,100157619;0,18693462
67000;0,74190481;0,51559931;0,772717927;0,561574844;0,759277348;0,806674893;0,811951757;0,802871436;0,099712163;0,442588419;0,167420507;0,216077328
67500;0,783357319;0,56278269;0,809390418;0,57940995;0,755242605;0,79927357;0,818085253;0,828536183;0,100071967;0,378032491;0,099814951;0,162109375
68000;0,797954358;0,426243823;0,800010275;0,549740441;0,775544819;0,776726971;0,812157348;0,817091559;0,100483149;0,387695298;0,099780719;0,174753308
68500;0,769120064;0,499948602;0,774311267;0,55693616;0,745759666;0,777103891;0,819901317;0,823670507;0,099969178;0,299701899;0,099232455;0,184364706
69000;0,75665604;0,543945309;0,777703539;0,564099759;0,76693565;0,793756853;0,819181745;0,805681194;0,099455178;0,16072163;0,099677901;0,178094149
69500;0,781558387;0,58336759;0,777446549;0,582917864;0,746427838;0,813390901;0,802563046;0,816097861;0,099557966;0,138209283;0,099609375;0,189298928
70000;0,781789675;0,577636715;0,72887541;0,57326789;0,734323598;0,786972314;0,769565513;0,813699285;0,100071967;0,338301808;0,100089093;0,20476976
70500;0,790527344;0,450452298;0,770610612;0,554693925;0,787931744;0,799684763;0,824253018;0,800781255;0,10043177;0,332493842;0,100123366;0,207185447
71000;0,764083058;0,472065166;0,760819279;0,548365535;0,782766242;0,800061678;0,801740676;0,814864308;0,099609375;0,453793183;0,10043176;0,196494639
71500;0,786184214;0,366879121;0,760151111;0,528570876;0,757221427;0,786115681;0,81054687;0,798245614;0,100328952;0,390676409;0,100397488;0,201069057
72000;0,749280427;0,491262339;0,790090457;0,554944496;0,766370274;0,801809212;0,807565788;0,803625271;0,099969149;0,376644731;0,10005482;0,18914476
72500;0,801063936;0,528834298;0,780736022;0,578465519;0,762798108;0,800472861;0,811814696;0,809107731;0,10043174;0,360402972;0,166084151;0,203227818
73000;0,79224918;0,557462987;0,758172289;0,581054692;0,720446132;0,789405157;0,814795777;0,825486571;0,100071967;0,378854841;0,099506597;0,216334313
73500;0,780556127;0,579230052;0,78980777;0,581960581;0,743575245;0,814041942;0,803899398;0,808902135;0,100277573;0,423365548;0,098752737;0,178248376
74000;0,78412829;0,60040604;0,788702715;0,592818414;0,749229029;0,809073463;0,824835529;0,830283716;0,100226164;0,338867188;0,099883497;0,198036611
74500;0,801372331;0,600842938;0,768785976;0,593313118;0,781815376;0,81911321;0,81911321;0,812602798;0,101099908;0,399362683;0,099883517;0,202251226
75000;0,772486642;0,576300375;0,756013572;0,569104644;0,780093543;0,802563046;0,806297973;0,816954499;0,099763572;0,316560447;0,100260397;0,171617985
75500;0,773951482;0,645456407;0,794536389;0,605475178;0,770327926;0,814590181;0,803522478;0,802494521;0,099609375;0,428710938;0,100328962;0,207956433
76000;0,766036186;0,518708896;0,74015728;0,557379481;0,742444485;0,807874178;0,770799066;0,811026588;0,099712193;0,188836366;0,099575102;0,204615563
76500;0,749074835;0,555561267;0,776726976;0,575015417;0,774516862;0,799993148;0,802905704;0,799410636;0,09991774;0,366570741;0,09967792;0,218698591
77000;0,766961351;0,579872534;0,802503083;0,582860046;0,737895768;0,795401593;0,817639803;0,819044679;0,099660784;0,351511091;0,100020568;0,182103217
77500;0,766370267;0,582468137;0,793200038;0,578786748;0,757915299;0,80084978;0,809004933;0,81332237;0,099917769;0,236996293;0,099438032;0,173108548
78000;0,789833468;0,477744661;0,796695106;0,563598632;0,774131373;0,77179276;0,801055377;0,769634048;0,099969178;0,151624173;0,10043176;0,190121293
78500;0,79268606;0,604337998;0,783177424;0,586515728;0,751439143;0,792077849;0,81174616;0,81640625;0,100688726;0,147049755;0,099300981;0,165861428
79000;0,78459087;0,66755756;0,803042762;0,616352279;0,752878293;0,7925233;0,797697365;0,803385422;0,099712163;0,324578553;0,100123366;0,210217923
79500;0,775493421;0,698190786;0,770790499;0,610113851;0,724352386;0,777754943;0,825349505;0,808696543;0,099763572;0,272101164;0,167009334;0,195980698
80000;0,766164679;0,682668582;0,793893915;0,601299081;0,719212577;0,817708338;0,834498361;0,807531526;0,100123346;0,432976961;0,133292238;0,162469149
80500;0,78256065;0,541375414;0,7863384;0,569933437;0,714509666;0,802323192;0,823087995;0,820895011;0,099969178;0,364155024;0,100157619;0,169459283
81000;0,769479848;0,430689767;0,80293997;0,552368167;0,746479239;0,80979304;0,82805647;0,819524398;0,100020558;0,317382813;0,100260397;0,206363082
81500;0,791092724;0,447342716;0,797337584;0,553415399;0,776161593;0,799376369;0,832339635;0,811437771;0,099300981;0,310392708;0,099986295;0,177888572
82000;0,792891655;0,506064963;0,76660157;0,570036238;0,800241575;0,804481909;0,809107731;0,816954494;0,10043174;0,386564553;0,100157619;0,214586765
82500;0,7865697;0,557128903;0,785284746;0,578722507;0,710140832;0,798040018;0,806263705;0,823807567;0,099969178;0,383840472;0,099849244;0,185906678
83000;0,79296875;0,468981288;0,770302218;0,559216947;0,754214641;0,782483553;0,81716009;0,82075795;0,099763542;0,399671063;0,100191911;0,204615533
83500;0,801449426;0,43009869;0,813733552;0,564620164;0,756656047;0,810307016;0,798040027;0,817571273;0,099969178;0,175986826;0,099883517;0,21319899
