Itérations;crammer;cross_entropy;GEL;GLL;Hinge;Lee;surrogate_hinge;surrogate_hinge_squares;surrogate_squares
158000;0,1673519611;0,859991774;0,8511513174;0,8545435816;0,873046875;0,8604029566;0,8694490194;0,8615337163;0,8618421108
158500;0,1688939333;0,8520764858;0,8501233608;0,8615337163;0,8738692403;0,868523851;0,8689350337;0,8612253219;0,8616365194
159000;0,1748560667;0,8499177694;0,8448807597;0,861944899;0,8731496781;0,862664476;0,8660567403;0,8583470434;0,8645147979
159500;0,1701274514;0,8522820771;0,8499177694;0,8557771444;0,875616774;0,8657483608;0,8701685816;0,8609169424;0,8609169424
160000;0,1005345583;0,8491981924;0,8504317403;0,8598889858;0,875;0,8595805913;0,8681126684;0,8620477021;0,8631784469
160500;0,1712582111;0,8355263174;0,8452919424;0,8503289521;0,8705797642;0,8699629903;0,8667763174;0,8627672642;0,8618421108
161000;0,1772204041;0,8254522979;0,84765625;0,8453947306;0,8747944087;0,8630756587;0,8669819087;0,8606085479;0,8633840531
161500;0,1708470583;0,8422080576;0,8513569087;0,8520764858;0,876336351;0,8622532934;0,8696546108;0,865234375;0,8633840531
162000;0,1665295959;0,8370682597;0,8506373316;0,837890625;0,875308387;0,8597861826;0,8674958944;0,8598889858;0,8631784469
162500;0,1771175861;0,8288445771;0,8427220434;0,8473478556;0,8694490194;0,8570106924;0,8679070771;0,8594778031;0,8633840531
163000;0,1708470583;0,8335731924;0,850945726;0,8433388174;0,8741776347;0,8581414521;0,8694490194;0,8586554229;0,8614309281
163500;0,16796875;0,8377878219;0,8422080576;0,8584498316;0,875308387;0,8669819087;0,8677014858;0,8611225337;0,8644120097
164000;0,1667351723;0,8223684281;0,8418996781;0,8651315719;0,8767475337;0,8649259806;0,8672903031;0,8601973653;0,8618421108
164500;0,1648848653;0,8258634806;0,8462171108;0,8526932597;0,870476976;0,8567022979;0,8666735142;0,8603001684;0,8606085479
165000;0,1608757973;0,8184621781;0,8495065719;0,8484786153;0,8703741729;0,8680098653;0,8664679229;0,8622532934;0,8616365194
165500;0,163959682;0,8113692403;0,8501233608;0,8563939184;0,8655427694;0,8628700674;0,8641036153;0,8615337163;0,8603001684
166000;0,163959682;0,8247327358;0,8500205576;0,8506373316;0,8739720434;0,8694490194;0,8634868413;0,8617393076;0,8609169424
