Iterations	Crammer (2)	cross_entropy (4)	GEL ( 4)	GLL (4)	Hinge (4)	Large_margin (m=1) (5)	Large_margin (m=4) (1)	Lee (4)	surrogate_double_hinge (2)	surrogate_exponential (2)	surrogate_hinge (3)	surrogate_hinge_squares (3)	surrogate_sigmoid (3)	surrogate_squares (3)
71000	0,1964946389	0,7640830576	0,4720651656	0,7608192787	0,5483655352	0,772491774	0,8227796108	0,7827662416	0,099609375	0,453793183	0,8000616779	0,8017406762	0,1004317602	0,8148643076
72000	0,1891447604	0,7492804267	0,4912623391	0,7900904566	0,5549444957	0,7990131587	0,824835524	0,7663702741	0,0999691486	0,3766447306	0,8018092116	0,8075657884	0,1000548204	0,8036252707
73000	0,2163343132	0,7922491804	0,5574629866	0,7581722885	0,5810546922	0,7865748376	0,787726149	0,7204461321	0,1000719666	0,378854841	0,7894051572	0,8147957772	0,0995065967	0,8254865706
74000	0,1980366111	0,7841282897	0,6004060395	0,7887027152	0,5928184139	0,7843338817	0,8095189184	0,7492290288	0,1002261639	0,3388671875	0,8090734631	0,8248355289	0,0998834968	0,8302837163
75000	0,1716179848	0,772486642	0,5763003752	0,7560135722	0,5691046435	0,765234372	0,8122944087	0,7800935432	0,0997635722	0,3165604472	0,8025630464	0,8062979728	0,1002603968	0,8169544985
76000	0,2046155632	0,7660361864	0,5187088959	0,7401572801	0,5573794814	0,7811266422	0,79296875	0,7424444854	0,099712193	0,1888363659	0,8078741779	0,7707990656	0,0995751023	0,8110265881
77000	0,1821032166	0,766961351	0,5798725337	0,8025030829	0,5828600461	0,7750822335	0,7927631587	0,7378957681	0,099660784	0,351511091	0,795401593	0,8176398029	0,1000205676	0,8190446794
78000	0,1901212931	0,7898334675	0,4777446613	0,7966951057	0,5635986319	0,7975328922	0,8041735142	0,7741313726	0,0999691784	0,1516241729	0,7717927595	0,8010553767	0,1004317602	0,7696340481
79000	0,2102179229	0,7845908701	0,6675575599	0,803042762	0,6163522787	0,8130345434	0,7990337163	0,7528782934	0,0997121632	0,3245785534	0,7925232997	0,7976973653	0,1001233657	0,8033854216
80000	0,1624691486	0,7661646791	0,6826685816	0,7938939147	0,601299081	0,8032689124	0,7566817403	0,7192125767	0,1001233459	0,4329769611	0,8177083383	0,8344983608	0,1332922379	0,8075315257
