Iterations	Crammer (2 passages)	cross_entropy (4 passages)	GEL ( 4)	GLL (4)	Hinge (4)	Large_margin (m=1, 5 passages)	Large_margin (m=4, 1 passage)	Lee (4)	surrogate_double_hinge (2)	surrogate_exponential (2)	surrogate_hinge (3)	surrogate_hinge_squares (3)	surrogate_sigmoid (3)	surrogate_squares (3)
35500	0,2080592215	0,7622070275	0,5034693703	0,7489720359	0,5556769138	0,7555509895	0,766241774	0,7244808786	0,0994552076	0,3070518076	0,7594572355	0,7319078992	0,0998834968	0,7844709406
36000	0,1558902264	0,7654451057	0,4915964082	0,7402086779	0,5382851046	0,7350740105	0,6423725188	0,749177631	0,1002775729	0,3234991729	0,7782689134	0,7742255976	0,0992667278	0,7883771956
36500	0,1904810965	0,7648026273	0,5528628677	0,7321648933	0,5600778712	0,7310444057	0,7664473653	0,7542917356	0,099712193	0,2087787688	0,7942708333	0,8015693476	0,1003632148	0,7974232435
37000	0,1823087931	0,7694284543	0,5216385797	0,7461194471	0,5548738185	0,7686677635	0,751336351	0,7415193282	0,1002775431	0,1437602937	0,7669956138	0,7648711552	0,1001233459	0,7850534519
37500	0,1616468132	0,7135587968	0,4750462472	0,7489463352	0,5247995481	0,7708264798	0,7863897979	0,7444233187	0,1001233459	0,2097039521	0,8099986315	0,7892680913	0,100466013	0,7878974775
38000	0,2088302076	0,7748252451	0,5492393188	0,7536492571	0,5716360072	0,7727590472	0,7892680913	0,6851099879	0,0998663604	0,2283100486	0,7867667278	0,8028714359	0,1031044523	0,7829632709
38500	0,2161801159	0,7332442477	0,5597502105	0,7191354856	0,5570775149	0,7320723712	0,6598478556	0,740414273	0,1004317701	0,2781661153	0,7928659568	0,8027686427	0,1286664009	0,7945449551
39000	0,2012746632	0,7383840494	0,6116879135	0,7586862706	0,5775082242	0,75859375	0,7192639709	0,7682976983	0,0998149514	0,4013671875	0,7787143638	0,7865611265	0,099369506	0,797731633
39500	0,1754728854	0,7635176778	0,5243883729	0,7624640241	0,55646074	0,7473684251	0,7678865194	0,7449115999	0,0994551778	0,3498149514	0,8021861315	0,7838884294	0,0996436477	0,789679274
40000	0,2023026049	0,787109375	0,5250051357	0,7713815793	0,5714496737	0,7877055943	0,8062294424	0,7444747128	0,099557966	0,2272306681	0,7701480289	0,7793311377	0,1105742852	0,803351149
